352511.600900242,1675095.41826039
356635.242202335,1625745.99042436
356562.930490188,1619447.20314978
345119.088270666,1618579.27085497
284543.616696082,1603892.92831325
282098.834338798,1603313.51595286
212188.219503332,1593768.19499677
212188.219503332,1593768.19499677
140487.863081269,1602918.55839525
118739.537348492,1606502.13131382
45083.6009778386,1619992.2389929
-3452.30424390215,1642569.58432448
-43942.522102235,1668384.96475564
-68228.471128935,1682878.45303505
-75158.2213413348,1687092.31310625
-108793.5458021,1715239.62467755
-111089.545627179,1718473.59763571
-143438.229335336,1775208.89425526
-161437.800952437,1796895.54160994
-165270.705325378,1805074.94291985
-167064.217650017,1809157.22535959
-169020.676191215,1828238.1620836
-169479.832021094,1842970.53590083
-233577.086624505,1863242.46833026
-246148.557347404,1869183.86013161
-250820.531431806,1874578.23802969
-307663.599130401,1916577.19381937
-320465.959502539,1928917.84918954
-328988.050775591,1940504.05682165
-332491.097253735,1949125.93733831
94292.3906566007,2090699.99798317
-336316.291724661,1968842.14075593
98255.7293142488,2071346.70612479
-346375.900326377,2003962.33742226
136603.862112098,1995723.22658703
-346728.614414559,2012382.5300119
142040.773107061,1949960.07829234
209444.756468538,1890395.10064758
-352355.135861398,2035233.51226623
254020.157683963,1808354.02289467
300005.102945286,1737593.13645455
346374.150461294,1685788.01581583
350786.576051697,1680123.37859657
